domain,problem,heuristic,algorithm,coverage,secs (mean),secs (95% CI),Q-values (mean),Q-values (95% CI),H-calls (mean),H-calls (95% CI),# states in part. SSP (mean),# states in part. SSP (95% CI),# actions in part. SSP (mean),# actions in part. SSP (95% CI),notes
(TriTW),intermediate-triangle-tireworld-tire6-start10,ROC,CG-iLAO*-tied,0,,,,,,,,,,,
(TriTW),intermediate-triangle-tireworld-tire6-start8,ROC,CG-iLAO*-tied,5,399.527175,10.295538759093604,32067618.0,2114898.12621068,907376.4,7324.266947408184,740561.2,3735.572088243513,778472.6,3943.1820803528713,
(TriTW),intermediate-triangle-tireworld-tire6-start9,ROC,CG-iLAO*-tied,5,949.9370868,40.60413772101234,80591791.4,5432330.192726877,1871055.8,13490.95448263554,1532452.4,8415.675844342864,1610219.6,8726.348235403855,
(BW),blocksworld-ippc04-p01,ROC,CG-iLAO*-tied,5,0.2114307999999999,0.0111207912734258,4367.0,392.4089366974202,393.0,9.003208317038988,137.8,3.1237259802998083,232.2,4.856688583798635,
(BW),blocksworld-ippc04-p02,ROC,CG-iLAO*-tied,5,0.1861126,0.0147078641421443,2918.6,233.9115274115408,279.8,11.007454928365592,99.2,5.990037061654961,181.2,12.8883972626545,
(BW),blocksworld-ippc04-p03,ROC,CG-iLAO*-tied,5,0.1501084,0.0178657425139739,487.0,151.6601848871351,109.8,32.91633126580178,32.6,9.14293257111743,46.6,13.054247431391822,
(BW),blocksworld-ippc04-p04,ROC,CG-iLAO*-tied,5,0.2443963999999999,0.0228133876695333,7401.0,148.87099972795238,514.4,10.043924332650064,198.0,4.880360642411583,394.2,6.912995298710971,
(BW),blocksworld-ippc04-p05,ROC,CG-iLAO*-tied,5,0.1572998,0.0109256974874277,2018.0,97.5166480145826,235.4,21.395444748824456,75.2,7.422165721674503,126.6,7.453156109997965,
(BW),blocksworld-ippc04-p06,ROC,CG-iLAO*-tied,5,67.4895028,1.3432740822750764,834367.4,8793.900758854172,72777.0,1371.3618716006365,15711.2,304.769222960587,44364.2,737.8017458802872,
(BW),blocksworld-ippc04-p07,ROC,CG-iLAO*-tied,0,,,,,,,,,,,
(BW),blocksworld-ippc04-p08,ROC,CG-iLAO*-tied,5,17.809034,1.2864140770618202,266252.6,7365.794469786406,18036.2,660.9759352230609,3409.4,133.9306881039592,10573.4,492.9349733342116,
(BW),blocksworld-ippc04-p09,ROC,CG-iLAO*-tied,5,14.3540856,1.22268827546958,173776.6,4398.9471502822125,14135.8,223.2012338317152,2500.6,55.90846318760693,7819.2,177.86975702462743,
(BW),blocksworld-ippc04-p10,ROC,CG-iLAO*-tied,5,170.8549274,9.890798727258518,2250460.0,21533.972068937022,177123.0,1195.6885180346928,38196.6,187.4446694254067,107484.8,618.5790430850369,
(BW),blocksworld-ippc08-p01-c0-C0-g1-n5,ROC,CG-iLAO*-tied,5,0.162532,0.0102067835278387,1787.4,120.50828525873231,168.4,11.18402861226669,86.8,7.158697088157872,154.0,12.03446384347886,
(BW),blocksworld-ippc08-p02-c1-C1-g20-n5,ROC,CG-iLAO*-tied,5,0.16323,0.0133989457726792,1787.4,120.50828525873231,168.4,11.18402861226669,86.8,7.158697088157872,154.0,12.03446384347886,
(BW),blocksworld-ippc08-p03-c1-C2-g40-n5,ROC,CG-iLAO*-tied,5,0.1522511999999999,0.0138541201761636,1787.4,120.50828525873231,168.4,11.18402861226669,86.8,7.158697088157872,154.0,12.03446384347886,
(BW),blocksworld-ippc08-p04-c2-C1-g0-n5,ROC,CG-iLAO*-tied,5,0.1543787999999999,0.0108519330354542,1787.4,120.50828525873231,168.4,11.18402861226669,86.8,7.158697088157872,154.0,12.03446384347886,
(BW),blocksworld-ippc08-p05-c0-C0-g1-n10,ROC,CG-iLAO*-tied,5,361.1252732,19.361307633032343,6615752.2,53700.46044310815,369390.8,3852.335120674731,116806.4,1400.7347579095765,350164.0,3498.5057320633327,
(BW),blocksworld-ippc08-p06-c1-C1-g20-n10,ROC,CG-iLAO*-tied,5,354.756321,18.049763308557324,6615752.2,53700.46044310815,369390.8,3852.335120674731,116806.4,1400.7347579095765,350164.0,3498.5057320633327,
(BW),blocksworld-ippc08-p07-c1-C2-g0-n10,ROC,CG-iLAO*-tied,5,359.8649534,24.28213087464136,6615752.2,53700.46044310815,369390.8,3852.335120674731,116806.4,1400.7347579095765,350164.0,3498.5057320633327,
(BW),blocksworld-ippc08-p08-c3-C2-g0-n10,ROC,CG-iLAO*-tied,5,358.57820580000003,9.034310778329168,6615752.2,53700.46044310815,369390.8,3852.335120674731,116806.4,1400.7347579095765,350164.0,3498.5057320633327,
(BW),blocksworld-ippc08-p09-c0-C0-g1-n14,ROC,CG-iLAO*-tied,5,320.9850524,36.52803024973655,708942.0,26833.536554015387,84536.0,4913.711869159606,12961.0,776.0429356163227,42333.4,2215.2388404178905,
(BW),blocksworld-ippc08-p10-c1-C1-g20-n14,ROC,CG-iLAO*-tied,5,338.0757536,30.507517186975463,708942.0,26833.536554015387,84536.0,4913.711869159606,12961.0,776.0429356163227,42333.4,2215.2388404178905,
(BW),blocksworld-ippc08-p11-c1-C2-g0-n14,ROC,CG-iLAO*-tied,5,352.6168966,17.842397117239962,708942.0,26833.536554015387,84536.0,4913.711869159606,12961.0,776.0429356163227,42333.4,2215.2388404178905,
(BW),blocksworld-ippc08-p12-c3-C2-g0-n14,ROC,CG-iLAO*-tied,5,297.5006066,40.86078706549808,708942.0,26833.536554015387,84536.0,4913.711869159606,12961.0,776.0429356163227,42333.4,2215.2388404178905,
(Elev),elevators-ippc04-p01,ROC,CG-iLAO*-tied,5,0.164573,0.0149401199599735,31045.8,1929.27583949626,769.8,18.660188209125867,644.6,26.83554240182225,1661.8,75.42155384238647,
(Elev),elevators-ippc04-p02,ROC,CG-iLAO*-tied,5,0.068401,0.013116730562612,1548.6,77.56896554679584,102.8,1.1428665713896788,62.0,0.8765386471799175,157.6,5.529840504029026,
(Elev),elevators-ippc04-p03,ROC,CG-iLAO*-tied,5,0.1646674,0.0130707245765525,34883.2,2192.742359271604,748.8,11.91254397683383,645.2,23.87180227800155,1682.8,64.50276322763234,
(Elev),elevators-ippc04-p04,ROC,CG-iLAO*-tied,5,0.1413374,0.0136417552868747,20669.2,145.34612558991722,580.0,17.17657940336201,444.8,8.663998153277735,1129.2,24.254950505000004,
(Elev),elevators-ippc04-p05,ROC,CG-iLAO*-tied,5,0.1173118,0.0142223113257523,12811.6,236.09873954767315,499.6,6.247451960599617,345.8,6.393326520677634,899.0,16.433638671943594,
(Elev),elevators-ippc04-p06,ROC,CG-iLAO*-tied,5,1.1236834,0.0190921092245926,323645.2,23716.88374429457,5917.6,66.29205635670083,4466.2,79.38943647614587,12008.6,164.85988649759526,
(Elev),elevators-ippc04-p07,ROC,CG-iLAO*-tied,5,1.1785144,0.0571710381691662,359673.2,7710.797819737202,6041.2,285.92524069063927,4773.0,264.10372719823545,12847.8,635.4389524604231,
(Elev),elevators-ippc04-p08,ROC,CG-iLAO*-tied,5,3.5398648,0.0685637736931209,1847702.0,22427.295173868824,14411.6,9.309484196237726,13963.0,8.338642575383597,42295.8,258.2752024953228,
(Elev),elevators-ippc04-p09,ROC,CG-iLAO*-tied,5,2.7606218,0.0796680531848368,1212947.0,21447.02092767944,12027.0,47.99399295745249,11145.6,39.45689820551027,32095.4,250.13439830619052,
(Elev),elevators-ippc04-p10,ROC,CG-iLAO*-tied,5,5.492654,0.2456487400983306,4482997.0,74305.33480464938,14609.8,20.001605535556383,14401.2,35.41801891692983,46390.2,261.7458001649692,
(Elev),elevators-ippc04-p11,ROC,CG-iLAO*-tied,5,324.4971502,30.90140063173637,181799590.8,2298601.0219547646,515098.2,332.5990062282207,498527.2,535.0277307803774,2033281.0,3982.881175872562,
(Elev),elevators-ippc04-p12,ROC,CG-iLAO*-tied,5,74.9571658,2.127477442221772,35569589.0,539233.5887514239,248984.0,1919.3300375287204,204073.8,1985.3769086760328,745731.8,8616.214381357046,
(Elev),elevators-ippc04-p13,ROC,CG-iLAO*-tied,5,1471.33272,112.9086217896218,1142941566.4,10195360.677145464,529792.0,243.28645568547373,526288.2,224.52602037180452,2473354.6,8190.714599375074,
(Elev),elevators-ippc04-p14,ROC,CG-iLAO*-tied,5,163.5152904,5.50956835773929,84851258.0,1605036.7809812473,461489.4,1819.3726367338825,434394.0,1970.4309994313428,1563834.4,12824.078016260506,
(Elev),elevators-ippc04-p15,ROC,CG-iLAO*-tied,5,407.7862526,23.72342102022345,233426578.0,1388637.191340405,524432.2,198.00695680707784,511935.0,242.82256402566875,2236293.2,8866.48669431946,
(ExBW),exploding-blocksworld-ippc04-fixed-p01,ROC,CG-iLAO*-tied,5,0.083447,0.0158386526495557,97.0,0.0,56.0,0.0,15.0,0.0,16.0,0.0,
(ExBW),exploding-blocksworld-ippc04-fixed-p02,ROC,CG-iLAO*-tied,5,0.0750755999999999,0.0146377969658038,75.6,10.08209978129556,37.0,2.400499947927514,9.2,0.960199979171006,12.4,1.9203999583420115,
(ExBW),exploding-blocksworld-ippc04-fixed-p03,ROC,CG-iLAO*-tied,5,0.085409,0.0065196938979556,156.2,10.562199770881064,86.8,6.241299864611537,18.2,0.960199979171006,22.2,0.960199979171006,
(ExBW),exploding-blocksworld-ippc04-fixed-p04,ROC,CG-iLAO*-tied,5,0.178017,0.0195695630078793,35783.0,3310.713506759532,662.2,25.968335795734003,238.6,5.700871512321602,299.4,4.704,
(ExBW),exploding-blocksworld-ippc04-fixed-p05,ROC,CG-iLAO*-tied,5,0.0733616,0.0156243527931065,0.0,0.0,0.0,0.0,,,,,trivial (s0 in G)
(ExBW),exploding-blocksworld-ippc04-fixed-p06,ROC,CG-iLAO*-tied,5,0.5600716,0.0185726585679211,62961.2,400.38746441915487,1606.0,101.2164950983781,390.8,24.459983319699955,553.4,42.92176249876047,
(ExBW),exploding-blocksworld-ippc04-fixed-p07,ROC,CG-iLAO*-tied,5,10.9684366,0.2858462187460393,453426.4,8530.463702524969,42015.0,836.5740596504291,8067.6,269.0692397432304,14881.8,814.0940634005384,
(ExBW),exploding-blocksworld-ippc04-fixed-p08,ROC,CG-iLAO*-tied,5,0.8964040000000001,0.0234030392483882,4701.0,141.62949692772335,2757.8,92.17919800041656,350.4,7.681599833368045,682.6,30.72639933347218,
(ExBW),exploding-blocksworld-ippc04-fixed-p09,ROC,CG-iLAO*-tied,5,41.1341594,0.9094127182396156,3535519.4,25469.36558439287,170916.8,1309.6873994904277,36936.4,76.47667837975182,72130.6,215.06086044652568,
(ExBW),exploding-blocksworld-ippc04-fixed-p10,ROC,CG-iLAO*-tied,5,239.8985126,6.110971118379507,27692105.8,291621.35458654806,740227.2,4308.281764702025,186133.0,1002.8898842046416,329151.0,1139.5304140916992,
(ExBW),exploding-blocksworld-ippc08-fixed-p01-n2-N5-s1,ROC,CG-iLAO*-tied,5,0.10597,0.0154430226528099,668.6,1.4667296956153848,183.8,1.900290504107201,52.0,0.0,64.2,0.3919999999999999,
(ExBW),exploding-blocksworld-ippc08-fixed-p02-n3-N5-s2,ROC,CG-iLAO*-tied,5,0.1693354,0.0185260386592475,17052.6,415.7827603160092,755.0,27.697789081441137,313.6,5.459928204656174,277.8,3.4731288487471925,
(ExBW),exploding-blocksworld-ippc08-fixed-p03-n3-N6-s3,ROC,CG-iLAO*-tied,5,0.1757873999999999,0.0221143280344941,19303.0,298.2685986824628,649.0,16.126881905687778,173.2,2.092707337398137,300.4,5.207849460189877,
(ExBW),exploding-blocksworld-ippc08-fixed-p04-n4-N6-s4,ROC,CG-iLAO*-tied,5,0.3169868,0.019891828997127,27307.8,167.92911237781254,1447.2,11.635204510450167,492.8,5.522889099013304,629.4,5.317346706770209,
(ExBW),exploding-blocksworld-ippc08-fixed-p05-n5-N7-s5,ROC,CG-iLAO*-tied,5,0.1020248,0.0082138028098307,213.0,13.72,78.2,1.5679999999999998,22.6,0.7839999999999999,29.6,0.7839999999999999,
(ExBW),exploding-blocksworld-ippc08-fixed-p06-n6-N8-s6,ROC,CG-iLAO*-tied,5,0.334665,0.0189238328561081,37765.4,684.9005669847265,1110.4,24.45370025170015,300.4,4.621611840040225,432.8,13.795392854137932,
(ExBW),exploding-blocksworld-ippc08-fixed-p07-n7-N9-s7,ROC,CG-iLAO*-tied,5,0.4227489999999999,0.0595351227136183,3146.0,531.8823943692817,1435.2,237.2987792298983,204.2,32.363155346782854,357.0,91.22110369865077,
(ExBW),exploding-blocksworld-ippc08-fixed-p08-n8-N10-s8,ROC,CG-iLAO*-tied,5,50.702302200000005,4.080980907965551,8422465.6,74951.19078355843,161026.0,4645.600459531576,35815.8,698.0279069951287,65278.6,746.117347617652,
(ExBW),exploding-blocksworld-ippc08-fixed-p09-n9-N11-s9,ROC,CG-iLAO*-tied,5,5.5589948,0.1682693410298616,457411.2,9374.213395287306,21911.8,486.5608315349685,4534.0,66.18011906909808,9018.2,125.5049082068108,
(ExBW),exploding-blocksworld-ippc08-fixed-p10-n10-N12-s10,ROC,CG-iLAO*-tied,5,165.46656439999998,13.658229410259734,79741184.2,2529560.714277644,215056.6,3459.9552295508097,54665.6,737.2637374074488,88929.4,1235.4874575227382,
(ExBW),exploding-blocksworld-ippc08-fixed-p11-n11-N13-s11,ROC,CG-iLAO*-tied,5,386.4933514,14.233557744174778,10930607.6,90184.96624578851,1440507.8,13834.113070466932,289615.4,2774.4169773586664,539781.8,2778.0916791034806,
(Rand),random-ippc04-p03-problem,ROC,CG-iLAO*-tied,5,0.2760906,0.0299091928836512,611.6,109.79779349331206,381.0,58.62988725897398,10.8,1.900290504107201,23.2,5.2004676712772655,
(Rand),random-ippc04-p04-problem,ROC,CG-iLAO*-tied,5,0.4929777999999999,0.0300097852077762,647.0,0.0,225.2,6.658232798573507,2.0,0.0,60.0,0.0,
(Rand),random-ippc04-p05-problem,ROC,CG-iLAO*-tied,5,13.2875008,4.105339272139416,9821.6,4867.046276510631,3924.4,1781.3935922013416,19.2,9.448745101864056,96.0,30.078178136316694,
(Rand),random-ippc04-p06-problem,ROC,CG-iLAO*-tied,5,1.4944714,0.0635528729719254,2435.6,48.21998357527717,608.6,52.31988623840842,16.0,0.0,120.8,3.635258450234316,
(Rand),random-ippc04-p07-problem,ROC,CG-iLAO*-tied,5,0.6418372,0.2786150385453257,1276.6,1226.9779404439184,718.6,590.0572105957184,7.8,4.973922395856212,40.4,30.888505564368117,
(Rand),random-ippc04-p08-problem,ROC,CG-iLAO*-tied,0,,,,,,,,,,,
(Rand),random-ippc04-p09-problem,ROC,CG-iLAO*-tied,5,5.751868,1.7862598545948392,5847.4,2111.161264578336,2408.8,590.3555790064154,3.6,0.7839999999999999,506.4,33.24844080554756,
(Rand),random-ippc04-p10-problem,ROC,CG-iLAO*-tied,1,1577.206642,,11125689.0,,1538546.0,,7495.0,,633889.0,,
(Rand),random-ippc04-p13-problem,ROC,CG-iLAO*-tied,5,61.118852,9.87912110981812,93693.8,21664.892244622493,20030.2,4043.4482389445766,25.2,5.126065157603831,7634.2,1620.667621464685,
(RectTW),rectangle-tireworld-ippc08-unit-cost-p01-x5-y5-h2-v2-u0-s1,ROC,CG-iLAO*-tied,5,0.1883986,0.0181170004823518,1318.8,41.76869909393876,48.0,0.0,24.0,0.0,41.2,0.9601999791710056,
(RectTW),rectangle-tireworld-ippc08-unit-cost-p02-x5-y5-h2-v3-u15-s2,ROC,CG-iLAO*-tied,5,0.1828906,0.0106229520245596,234.8,15.363199666736094,34.0,0.0,11.0,0.0,8.0,0.0,unsolveable
(RectTW),rectangle-tireworld-ippc08-unit-cost-p03-x7-y7-h4-v3-u0-s3,ROC,CG-iLAO*-tied,5,0.4947022,0.0060719794178886,3307.0,81.75573276535414,95.8,0.3919999999999999,47.8,0.3919999999999999,91.0,2.055665342413497,
(RectTW),rectangle-tireworld-ippc08-unit-cost-p04-x7-y7-h3-v4-u20-s4,ROC,CG-iLAO*-tied,5,0.4439108,0.0070606618825081,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,unsolveable
(RectTW),rectangle-tireworld-ippc08-unit-cost-p05-x9-y9-h3-v5-u30-s5,ROC,CG-iLAO*-tied,5,1.0971864,0.0202232549595503,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,unsolveable
